query,rewritten
"What are some of the amenities available at the Twentynine Palms resort and campground?","What amenities (facilities, services) are available at the Twentynine Palms resort and campground (RV park, outdoor accommodation)?"
"how much does a dialysis patient care technician make","What is the average salary (compensation, pay) of a dialysis patient care technician (PCT, medical technician)?"
"where was an independent arab state created after world war i","Where was an independent Arab state (nation, country) established (created, formed) after World War I (First World War, WWI)?"
"who organized the august 1991 coup attempt in the soviet union","Who orchestrated (organized, planned) the August 1991 coup d'état (attempted overthrow) in the Soviet Union (USSR)?"
"where was sir gawain and the green knight written","In what location (place, region) was Sir Gawain and the Green Knight written (composed, penned)?"
"where does part 1 of the deathly hallows end","What is the climax (conclusion, finale) of Part 1 of Harry Potter and the Deathly Hallows?"
"What are some potential applications of blockchain technology in the energy sector?","What are some potential uses (applications, implementations) of blockchain technology in the energy (power, electricity) industry (sector, market)?"
"Who are the three goalkeepers that Vicente Del Bosque decided to retain in the Spanish national team?","Which three goalkeepers did Vicente Del Bosque choose to keep (retain, select) in the Spanish national football (soccer) team's squad?"
"is mpstat malware","Is mpstat a virus (malware, Trojan, spyware) or a legitimate system process?"
"when was facebook first opened to the public","When was Facebook first launched (released, made available) to the general public (everyone, masses)?"
"who sits on the right hand of god","Who sits at the right hand (side) of God (Deity, Almighty) in Christianity (Christian theology)?"
"What are the two policy documents established by Metropolia University of Applied Sciences in relation to data protection and security?","What are the two key policy documents (guidelines, regulations) established by Metropolia University of Applied Sciences regarding data privacy (protection, security) and information security (cybersecurity, safeguards)?"
"What are some examples of barriers to communication mentioned in the essay?","What are some instances (examples, cases) of obstacles (barriers, hurdles) to communication (interaction, dialogue) mentioned in the essay (article, text)?"
"how much money do nurses make starting out","What is the average starting salary (income, compensation) for nurses (registered nurses, RNs) when they begin their career?"
"is it illegal to own a coca plant","Is it illegal (unlawful, prohibited) to cultivate (grow, possess) a coca leaf (coca plant, Erythroxylum coca) plant?"
"how to export field data excel to word for label print","How to transfer (export, migrate) field data from Excel to Word for label printing (generation, creation)?"
"when did the porsche cayenne body style change","What year did the Porsche Cayenne undergo a body style redesign (modification, overhaul)?"
"Who is Dan Baker and what is his connection to Bigfoot research?","Who is Dan Baker and what is his role (involvement, association) in Sasquatch (Bigfoot, Yeti) research (investigation, studies)?"
"the tehri hydropower complex is located in the state of","Where is the Tehri Dam Hydropower Complex situated in the state of (region, province)?"
"what is soros management fund industry","What is the Soros Management Fund's role in the investment (financial, asset) industry?"
"what is the surface area of the earth","What is the total surface area (size, extent) of the Earth (planet, globe)?"
"ticket price of disneyland in california","What is the cost (price, admission) of a ticket to Disneyland in California ( Anaheim, CA)?"
"who was supposed to play catwoman in batman returns","Who was originally (initially, initially planned) cast to play Catwoman in the movie Batman Returns?"
"who does carmela soprano have an affair with","Who does Carmela Soprano have an extramarital affair (romantic relationship, fling) with in the TV series?"
"when did last harry potter movie come out","What is the release date of the final Harry Potter film (movie, cinematic production)?"
"how late can an hsa be funded","What is the deadline (time limit, cutoff) for contributing to a Health Savings Account (HSA)?"
"ebay customer service number usa","What is the eBay customer support (service, assistance) phone number in the USA (United States of America)?"
"Who is currently in 125th place on the PGA Tour money leaders list?","What is the current ranking (position, standing) of the 125th player on the PGA Tour money list (leaderboard, earnings rankings)?"
"age requirements for military officers","What are the minimum age (seniority, maturity) requirements for becoming a military officer (commander, leader)?"
"record for cycling from lands end to john o'groats","What is the best route (path, course) for cycling from Land's End to John o' Groats, and how to document (record, log) the journey?"
"what are the major blood vessels located in the abdominal cavity","What are the primary blood vessels (arteries, veins) situated in the abdominal cavity (belly, torso)?"
